title,description,authors,publisher,published_date,categories,ratings_count,review_score,review_time,review_summary,review_text,total_review,helpful_review
The Outsiders,"Celebrate the 50th anniversary (April, 2017) of a landmark coming-of-age American novel with a Penguin Classics edition featuring an introduction by Jodi Picoult, author of My Sister's Keeper. Nominated as one of America’s best-loved novels by PBS’s The Great American Read First published in 1967, S. E. Hinton's novel was an immediate phenomenon. Today, with more than eight million copies sold, The Outsiders continues to resonate with its powerful portrait of the bonds and boundaries of friendship. In Ponyboy's world there are two types of people. There are the Socs, the rich society kids who get away with anything. Then there are the greasers, like Ponyboy, who aren't so lucky. Ponyboy has a few things he can count on: his older brothers, his friends, and trouble with the Socs, whose idea of a good time is beating up greasers. At least he knows what to expect-until the night things go too far. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",['S. E. Hinton'],Penguin,2006,['Fiction'],2.0,3.0,2000-02-16,not bad,"The Outsiders by S.E. Hinton is very well writen and I enjoyed it alot. The best character in this book would be Johnny because on the inside he is a good person even though he is a member of the gang known as &quot;Greasers.&quot; The best most exciting part (other than the rumble) is when Johnny, Ponyboy, and Dally save the children from a fire in a old church. The theme of this book is to stay young and &quot;gold&quot;. The book is much more interesting than the movie but it wasn't very exciting.",0,0
"Patience (Passion, Book 2)","A woman called Patience. A desire that would put her name-and love-to the test. Known for her exceptional beauty, Patience Emmalina Dare fears she'll never find a man who touches her deeply-until she shares a passionate kiss with her enigmatic brother-in-law. But can she reconcile her desire for him with her desire for a life that's her own?",['Lisa Valdez'],Penguin,2010,['Fiction'],6.0,4.0,2011-04-08,NO NOTHING LIKE HER BOOK PASSION BUT I LIKED IT!,"Just finished reading Patience **CAUTION** IF YOU FIND DOM.SUB-BDSM OFFENSIVE YOU WILL NOT LIKE THIS BOOK I was not aware of the previlace of this element in the book and the latter is not a part of my personal habits but I liked this story for what if offered: explicit sexual interaction, a bit of romance ( according to some reviewers none); quite a bit of humor i.e. Aunt Matty, Lord Asher and his brother, and the love and loyalty of family! I was a bit disappointed that more time was NOT given to Matt's self discovery since this aspect was only give 2 or 3 pages, and little time spend on how or why Matt developed or discovered his particular sexual interests, thus the 4 stars rather than 5 star rating. I also thought the price, set by the publisher by the way, rather than amazon for a Kindle version was a bit too much. Yes, I had to suspend some of my own prefrences and logic but one has to do that which most fiction whether a book or movie. THIS IS EROTICA, SEXUALLY EXPLICIT AND THIS ISN'T WHAT SOME ONE MIGHT DEEM A TRADITIONAL OR TYPICAL ""ROMANCE"" SO IF YOU ARE LOOKING FOR THE LATTER I SUGGEST THAT YOU READ SOMETHING ELSE BUT IF YOU ENJOY ""EXPLICIT EROTICA WITH A BIT OF A ""DIFFERENT"" SLANT I THINK THAT YOU WILL ENJOY THIS BOOK.",2,2
Harry Potter & the Prisoner of Azkaban,"Through classroom activities, wizard rock concerts, and organizations like the Harry Potter Alliance, Harry Potter fans are using creativity to positively impact the world. This collection of essays and interviews examines how playful fandom--from fanfiction to Muggle quidditch, cosplay, role-playing games, and even Harry Potter burlesque--not only reimagines the canon but also challenges consumerism, questions notions of identity, and fosters participatory culture. The contributors explore issues applicable to fan studies and performance studies at large, such as the role of performance, the nature of community, and questions of representation and ownership in the digital age. Presented in three parts, the essays discuss discrepancies between sanctioned versions of Harry Potter and fan creations, the reenactment and reinterpretation of the original narrative in fan performance, and collaborative and participatory performances that break down the boundaries between actors and audiences.",['Lisa S. Brenner'],McFarland,2015,['Literary Criticism'],1.0,4.0,2001-01-29,A rollercoaster ride to another world!,"J.K. Rowling does a wonderful job of weaving a tale that is suspenseful,entertaining and insiteful all rolled into one! I have read every one of the Potter books and each time I couldn't wait to open the next. A wonderful book suitable for kids and adults.",1,1
"Sailor Moon Supers, Vol. 3","A look at a favorite school-girl-turned-superhero, Sailor Moon and her adventures.",['Naoko Takeuchi'],Mixx Entertainment Incorporated,2000,['Juvenile Fiction'],5.0,5.0,2000-02-12,I can't wait!,This book is coming in my mail! I can not wait any longer! What's gonna happen to Rini and Helios? I have to know!,0,5
Almost a Lady,"In this exhilarating new novel of romance and intrigue, New York Times bestselling author Jane Feather tells the tale of an adventurous young woman and the hardened spy who is unexpectedly–and most inconveniently–captivated by her.... Independent and inquisitive, Meg Barratt wants nothing to do with any stifling society marriage. Meg yearns for the kind of passion that exists only in books–until a violent storm lands her on the high seas with the most dangerous and seductive man she’s ever encountered…or imagined. For Cosimo, women are objects, to be manipulated for business or pleasure…sometimes both. But when the seafaring assassin accidentally kidnaps Meg on his latest mission, he must reconsider his position. Recruiting his unsuspecting captive for the danger ahead is far more challenging than he expected–and far more seductive.",['Jane Feather'],Bantam,2005,['Fiction'],1.0,5.0,2006-01-02,Vintage Feather Romance,"Cosimo is an English privateer on a mission during early days of the Napoleonic Wars. His men are sent into seaport to fetch his female partner on the mission, but pick up the wrong woman who has knocked herself unconscious on a rainy street. By the time Cosimo realizes he has the wrong woman, it is too late to turn back and he decides to use her as a replacement - seducing her into the mission.Meg is a 29 year old spinster who has had more than one love affair. She allows herself to be seduced for what she thinks is a brief romantic fling while Cosimo delivers some dispatches.As the novel continues - Meg loves the sex and adventure, but learns more about Cosimo's dark side. Cosimo becomes seduced by Meg's passion, openness and spirit of adventure. She becomes more than a tool for his mission and he doesn't know how to tell Meg what their real mission is.This is a classic Jane Feather following the unfolding of a love affair as the characters learn more about each other and overcome obstacles in their way.The ending leaves some hope that we will read more about Meg and Cosimo.",5,7
Flaubert : A Biography,"In this riveting landmark biography, Brown illuminates the life and career of the author of ""Madame Bovary,"" shedding light on not only the novelist but also his milieu--the Paris and Normandy of the revolution of 1848 and of the Second Empire.",['Frederick Brown'],Harvard University Press,2007,['Biography & Autobiography'],1.0,2.0,2010-07-05,"Not quite unmitigated, but a disaster nonetheless.","Painfully overwritten, with passages of eye-roll-worthy bombast that make one shudder at the thought of ever having to hold a conversation with Brown. The assiduous research the author clearly carried out is, alas, rather poorly edited, and then rendered into passages of the most torturous purple prose.Flaubert is indeed a fascinating figure; and Brown does not *totally* fail in communicating this. However, for all the technical acumen this biographer is blessed with, he is woefully lacking in grace. Don't come looking for the deft brevity of a skilled historian, but rather for a farrago of murky narrative and hack psychoanalysis reflecting the masturbatory garrulity of a writer blindly infatuated with their own talent.If you buy it, buy it used. I think someone's selling it for $0.88.",2,2
Codependent No More - How To Stop Controlling Others And Start Caring For Yourself,"The healing touchstone of millions, this modern classic by one of America's best-loved and most inspirational authors holds the key to understanding codependency and to unlocking its stultifying hold on your life. Is someone else's problem your problem? If, like so many others, you've lost sight of your own life in the drama of tending to someone else's, you may be codependent--and you may find yourself in this book--Codependent No More.The healing touchstone of millions, this modern classic by one of America's best-loved and most inspirational authors holds the key to understanding codependency and to unlocking its stultifying hold on your life.With instructive life stories, personal reflections, exercises, and self-tests, Codependent No More is a simple, straightforward, readable map of the perplexing world of codependency--charting the path to freedom and a lifetime of healing, hope, and happiness.Melody Beattie is the author of Beyond Codependency, The Language of Letting Go, Stop Being Mean to Yourself, The Codependent No More Workbook and Playing It by Heart.",['Melody Beattie'],Simon and Schuster,2009,['Self-Help'],24.0,5.0,2000-02-04,Thank you Melody! How can I ever repay you!,This book set me on the path to change my life,3,6
The Canning Season (National Book Award for Young People's Literature (Awards)),"Love under trying circumstances One night out of the blue, Ratchet Clark's ill-natured mother tells her that Ratchet will be leaving their Pensacola apartment momentarily to take the train up north. There she will spend the summer with her aged relatives Penpen and Tilly, inseparable twins who couldn't look more different from each other. Staying at their secluded house, Ratchet is treated to a passel of strange family history and local lore, along with heaps of generosity and care that she has never experienced before. Also, Penpen has recently espoused a new philosophy – whatever shows up on your doorstep you have to let in. Through thick wilderness, down forgotten, bear-ridden roads, come a variety of characters, drawn to Penpen and Tilly's open door. It is with vast reservations that the cautious Tilly allows these unwelcome guests in. But it turns out that unwelcome guests may bring the greatest gifts. By turns dark and humorous, Polly Horvath offers adolescent readers enough quirky characters and outrageous situations to leave them reeling! The Canning Season is the winner of the 2003 National Book Award for Young People's Literature.",['Polly Horvath'],"Farrar, Straus and Giroux (BYR)",2003,['Young Adult Fiction'],13.0,3.0,2004-05-12,A Walk on the Weird Side,"Polly Horvath's National Book Award-Winning story ""The Canning Season"" details a preteen girl's formative summer in Maine with her two eccentric aunts. Ideally, this coming-of-age tale should captivate readers, yet it left me feeling as if I had missed the boat.Horvath tries hard to create quirky characters and memorable events that express the story vividly to the reader. Unfortunately, she tries much TOO hard, and the characterizations, wacky circumstances and bizarre dialogue weigh the story down...the plot loses steam about halfway through and never recovers.Reading The Canning Season will make you feel like the author is keeping secrets from you. This is suspenseful at first, then anticlimactic, as you realize the book's secrets and outcomes aren't really that exciting.Horvath's best move in this book is placing readers convincingly inside the psyche of a young girl. It's a shame that so many other elements of the story don't measure up. I managed to finish it because of my adult patience and diligence, but I doubt a younger reader would be enticed to read even halfway through. It's just too weird, with no payoff to readers for enduring all the quirkiness!",11,17
"In the Beginning: The Story of the King James Bible and How It Changed a Nation, a Language, and a Culture","The author of The Journey traces the origins and history of the world's most familiar translation of the Bible; discusses the political, religious, and technological forces that prompted its creation; and assesses the influence of the King James Bible on literature, religious belief, and more. Reprint. 25,000 first printing.",['Alister E. McGrath'],Anchor,2002,['Religion'],10.0,5.0,2001-06-06,In the Beginning: The Story of the King James Bible and How,"Very well written, extremely informative and interesting. I learned alot more of how the Bible came about and how different Bibles developed. Interesting not only to the Christian community but also to history people. Fascinating read.",5,6
Guards! Guards,"This is where the dragons went. They lie... not dead, not asleep, but... dormant. And although the space they occupy isn't like normal space, nevertheless they are packed in tightly. They could put you in mind of a can of sardines, if you thought sardines were huge and scaly. And presumably, somewhere, there's a key... GUARDS! GUARDS! is the 8th Discworld novel - and after this, dragons will never be the same again!",['Terry Pratchett'],Gollancz,2014,['Fiction'],89.0,5.0,2008-02-24,Hilariously funny,"I read this book while sitting in the airport, and numerous times I laughed out loud, drawing the odd attention of my fellow passengers. Killed by a metaphor. That was priceless. I love Carrot.",0,0
Flush,"With their father jailed for sinking a river boat, Noah Underwood and his younger sister, Abbey, must gather evidence that the owner of this floating casino is emptying his bilge tanks into the protected waters around their Florida Keys home.",['Carl Hiaasen'],Ember,2005,['Juvenile Fiction'],15.0,4.0,2007-04-26,Save our Waters and read Flush!,"Sure enough, as soon as my son realized that I had finished ""Hoot"" he was standing there in front of me with his outstretched hand holding a copy of Carl Hiaasen's ""Flush"" for me to read. I smiled and promised that I would read it as soon as possible, which meant that evening else he would remind me of my promise every hour of every day. Ha.I've always enjoyed Mr. Hiassen novels so I read it. Again the author proved that his writing skills are fertile enough to create an impressive novel, and certainly a novel worthy of the attention of young adults.The story takes the reader down to the beautiful state of Florida where there is a casino boat, the Coral Queen that is discharging its raw sewage into the Florida Keys. Just that irresponsible act was enough to get me riled up. Here comes the interesting twist in that Mr. Hiaasen's characters, Noah and Abbey set out to prove that their father was justified in sinking the casino because of all the damage it was doing to the waters. With their father in jail, there are more surprising scenes, for these young people and it will take all their zeal and determination to close down the casino and expose the nasty casino owner.I'm not sure if its because I enjoyed Hoot so much that I favor it over Flush, but still both books are great reads with an education into our fragile environment and I believe both books are worthy of your attention. Regards.",0,0
Modern Chess Openings: MCO-14 (McKay Chess Library),"Why is Modern Chess Openings called ""the chessplayer's bible""? Because since it was first published over a half-century ago, it has been one of the most trusted books in the chess world. Because it is the world's most current and comprehensive one-volume reference work on the chess openings. And because it has been completely revised to reflect the changes and advances made in chess over the past eight years, including major tournament matches and published theoretical works.","['Nick de Firmian', 'Walter Korn']",Random House Puzzles & Games,1999,['Games & Activities'],1.0,4.0,1999-12-02,Modern Chess Openings,This book is the best book on chess openings I have ever seen and in it contains more openings that I could possibly find. This book is a must to the improving chess player as it is essential to have a good opening. Though you may find it boring it is very hard to find a book of such thorough imformation and intense study.,10,16
Education of a wandering man,"From his decision to leave school at fifteen to roam the world, to his recollections of life as a hobo on the Southern Pacific Railroad, as a cattle skinner in Texas, as a merchant seaman in Singapore and the West Indies, and as an itinerant bare-knuckled prizefighter across small-town America, here is Louis L'Amour's memoir of his lifelong love affair with learning—from books, from yondering, and from some remarkable men and women—that shaped him as a storyteller and as a man. Like classic L'Amour fiction, Education of a Wandering Man mixes authentic frontier drama--such as the author's desperate efforts to survive a sudden two-day trek across the blazing Mojave desert--with true-life characters like Shanghai waterfront toughs, desert prospectors, and cowboys whom Louis L'Amour met while traveling the globe. At last, in his own words, this is a story of a one-of-a-kind life lived to the fullest . . . a life that inspired the books that will forever enable us to relive our glorious frontier heritage.","[""Louis L'Amour""]",Bantam,2008,['Biography & Autobiography'],26.0,3.0,2003-10-06,Mr. Roberts Class,"This Book was not my favorite book i have ever read, but it did have some parts that really pulled me in like the part at the mine and then going through the dessert. What i did not like about this book was when louie wouled talk about the books that he read because i had no clue what those books were or who the authers were. I really liked the boxing parts of the book were louie would talk about his boxing and his carer.",0,0
"Crossroads of Twilight (The Wheel of Time, Book 10)","The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. Fleeing from Ebou Dar with the kidnapped Daughter of the Nine Moons, whom he is fated to marry, Mat Cauthon learns that he can neither keep her nor let her go, not in safety for either of them, for both the Shadow and the might of the Seanchan Empire are in deadly pursuit. Perrin Aybara seeks to free his wife, Faile, a captive of the Shaido, but his only hope may be an alliance with the enemy. Can he remain true to his friend Rand and to himself? For his love of Faile, Perrin is willing to sell his soul. At Tar Valon, Egwene al'Vere, the young Amyrlin of the rebel Aes Sedai, lays siege to the heart of Aes Sedai power, but she must win quickly, with as little bloodshed as possible, for unless the Aes Sedai are reunited, only the male Asha'man will remain to defend the world against the Dark One, and nothing can hold the Asha'man themselves back from total power except the Aes Sedai and a unified White Tower. In Andor, Elayne Trakland fights for the Lion Throne that is hers by right, but enemies and Darkfriends surround her, plotting her destruction. If she fails, Andor may fall to the Shadow, and the Dragon Reborn with it. Rand al'Thor, the Dragon Reborn himself, has cleansed the Dark One's taint from the male half of the True Source, and everything has changed. Yet nothing has, for only men who can channel believe that saidin is clean again, and a man who can channel is still hated and feared-even one prophesied to save the world. Now, Rand must gamble again, with himself at stake, and he cannot be sure which of his allies are really enemies. TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —Variety The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan Warrior of the Altaii By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",['Robert Jordan'],Tor Fantasy,2010,['Fiction'],65.0,4.0,2013-01-03,Probably the slowest of the series,The characters are rich and inventive. The situations the story leads them into are enlightening. It's the best Epic Fantasy out there for sure - but Crossroads really slows down trying to build toward the final show down.,0,0
Reunion in Death (In Death #14),A birthday bash sets the scene for a frightening reunion with a killer from Eve Dallas's past.,['J. D. Robb'],Penguin,2002,['Fiction'],17.0,4.0,2007-12-17,"J D Robb series of books ending ""In Death""",I started with book one and got so enthralled I have ordered all of these books in this series. Love to read her books under the above name and Nora Roberts name also.,0,1
Up from Slavery,Deals partly with the establishment of the Tuskegee Normal and Industrial Institute.,['Booker T. Washington'],"Doubleday, Page & Company",1907,['African Americans'],23.0,5.0,2011-12-03,Enlightening,Booker T. Washington tells his story in a compelling way that he never could have guessed would have affected the future generations in this way. This is a book that will put things in perspective and it contains a lot of life lessons. While in many ways we have moved forward as a country there are so many mindsets that are exactly the same as what is stated in the pages of 'Up from Slavery'. Read this book and then think about how you live your life. You won't be the same.,0,0
Designation Gold (Rogue Warrior),"The Rogue Warrior has come to Moscow to investigate the assassination of Paul Mahon, U.S. Defense attaché in Russia. Marcinko knows who killed him -- Andrei Yudin, a godfather in the Russian Mafia -- and he wants to know why. Instead, he finds a cabal of corrupt, mob-linked russian politicians. The revelation gets him yanked back to Washington, where orders come down to disband his elite team of SEALs. But even as the Pentagon's chain of command becomes a noose around his neck, Marcinko begins to cut and slash his way to the truth behind Mahon's death. More about survival than revenge, his mission soon leads him to a black-market network peddling terrorism in Paris, sinister trading in the Middle East, and a devil of a deal that puts American's safety up for sale....",['Richard Marcinko'],Simon and Schuster,2010,['Fiction'],1.0,2.0,2003-12-03,There are 2 kinds of trash my mother always said...,good trash and trashy trash. This is unfortunately the latter. The plot is okay. The dialogue is terrible. And it may be the worst read book on tape I have ever heard. Why authors read their own books instead of hiring a pro is a mystery to me.,0,4
The Bluest Eye (G K Hall Large Print Book Series),An eleven-year-old black girl prays for her eyes to turn blue so people will consider her beautiful.,['Toni Morrison'],G K Hall & Company,1999,['Fiction'],106.0,5.0,2002-05-18,Literature at its best,"Although some may not regard this as Toni Morrison's best work, the novel was an impressive and haunting piece of literature. For her first book, Morrison managed to incorporate the elements of race and gender injustices and wove it with the reality of social stratification during that era for an unforgettable story. Pecola Breedlove is the tortured main character whose life is peppered with the pressures of falling short of the glory and the repercussions of being on the cusp of society's sometimes cruel and unforgiving standards of beauty. Morrison successfully takes the reader on a journey through the lives of her characters using metaphors, similes, foreshadowing and language that is difficult to forget. It's a fantastic read and my favorite novel to date.",1,2
Feet of Clay: Discworld #19,"It's murder in Discworld!—which ordinarily is no big deal. But what bothers Watch Commander Sir Sam Vimes is that the unusual deaths of three elderly Ankh-Morporkians do not bear the clean, efficient marks of the Assassins' Guild. An apparent lack of any motive is also quite troubling. All Vimes has are some tracks of white clay and more of those bothersome ""clue"" things that only serve to muck up an investigation. The anger of a fearful populace is already being dangerously channeled toward the city's small community of golems—the mindless, absurdly industrious creatures of baked clay, who can occasionally be found toiling in the city's factories. And certain highly placed personages are using the unrest as an excuse to resurrect a monarchy—which would be bad enough even if the ""king"" they were grooming wasn't as empty-headed as your typical animated pottery.",['Terry Pratchett'],Harper,2014,['Fiction'],57.0,5.0,2000-03-28,non-stop fun!,"This is one of Pratchett's best works. As a Discworld fan, this is a must read. For a new reader, you might want to read &quot;Men at Arms&quot; first. Some new characters are introduced in this book, like Dorfl the golem, a lot will appear again in other books. In short, Feet of Clay will keep you laughing till the last page.",0,1
Liar's poker : rising through the wreckage on Wall Street,"The author recounts his experiences on the lucrative Wall Street bond market of the 1980s, where young traders made millions in a very short time, in a humorous account of greed and epic folly.",['Michael Lewis'],W. W. Norton,2014,['Biography & Autobiography'],32.0,5.0,2010-06-26,Micheal Lewis the great,I came through this book saying wow wow wow all along. What a read. For someone who is trying to break into high finance I've been reading books to spur my interest in the field. And Ive read so many. But this has to be right on top of the pile for me. Micheal has a knack of explaining techie finance concepts in such a lucid engaging way.This book describes Micheal Lewis' ascent through salomon brothers and weaves his story with that of the firms expansionary growth phase till he resigned in 1988.Every finance junkie should snap this up,0,0
Resurrection Day,An alternate-history novel in which the 1962 Cuban Crisis ends in a war which ravages the U.S. The country becomes dependent on British aid and a Boston reporter discovers a plot to transform the U.S. into a British colony.,['Brendan DuBois'],CreateSpace,2013,['Fiction'],3.0,4.0,2011-12-15,Well written alternate history of the Cold War,"The tenth anniversary of what we remember as ""the Cuban Missile Crisis"" but in this thriller was ""the ""Cuban War"" is hardly cause for celebration. Pretty accurate in its portrayal of the Kennedy brothers as novices in way over their heads but still fighting to stop the generals' runaway train. In this book, the Kennedys lost, and so did America and Russia. As Michael Dobbs noted in his 2008 ""One Minute to Midnight"", our plans for the invasion of Cuba were blissfully ignorant of the eighty cruise missiles with Hiroshima-size atomic warheads aimed at Guantanamo Naval Base and the beachheads.One Minute to Midnight: Kennedy, Khrushchev, and Castro on the Brink of Nuclear War (Vintage)When I was stationed there, the fourth-level alert siren would have signalled ""Man the Final Defense Line"", but if those crude Frog missiles had launched, the Final Defense Line would have been wherever you were standing when toasted. Eerie new context for McGovern's 1972 campaign as the ""peace candidate"", and thought provoking in how easily America could slide across the line into a barely-noticed dictatorship. Would make a great movie!",0,0
The Hitchhiker's Guide to the Galaxy,"The off-beat and occasionally extraterrestrial journeys, notions, and acquaintances of galactic traveler Arthur Dent are illustrated with digitally generated graphic images and tricky visual puns",['Douglas Adams'],Harmony,1994,['Science'],2.0,5.0,2003-10-02,The Reader's Guide to the Best Book in the Galaxy,"One would believe that Earth is a normal planet in a normal otherwise insignificant solar system along with other normal planets with no normal intelligent life. However, Arthur Dent is about to learn much more about Life, the Universe, and Everything than any other Earthling ever will. This is mostly because his planet is soon blown up, his best friend happens to be an alien named Ford Prefect, and he has been living on a planet that was really the most intelligent super computer ever created and was run by mice. Although Arthur gets past the fact that he almost dies on two occasions and has a fish living in his ear, he never gets past the fact that he has no idea what is going to happen next. He and his friend then become ""hitchhikers"" and get picked up by a criminal named Zaphod Beeblebrox, who just happens to be Ford's cousin. After all of these incredibly bizarre and improbable things happen, Arthur learns his destiny as part of the genius super computer called the ""Earth"" that was created to find the Question of Life, the Universe, and Everything. But will he be able to escape the cops, whale and flower missiles, and mad mice that want the Question more than a run on the exercise wheel?",3,3
A Stir of Echoes,"Madness is only a step away . . . Tom Wallace is happy with his suburban lot. Until an evening of casual entertainment turns reality into nightmare. Tom sees himself as a pragmatist, and when his brother-in-law challenges him to undergo hypnotism, he obliges to prove a point. So no one is more surprised than Tom when it works. But this cheap parlour trick unlocked something that now threatens his sanity, way of life and marriage. Suddenly he can sense his neighbours' darkest desires, and some are dark indeed. When shadows from the past and glimpses of the future are revealed to him, Tom tries to deny what's happening. But as his existence becomes increasingly unbearable, the biggest revelation of all awaits -- a message from beyond the grave.",['Richard Matheson'],Tor,2013,['Horror tales'],10.0,5.0,2008-12-10,Surprising!,"Having seen the movie years ago, it didn't sway my decision to read this. It was well written and it had a twist I did not expect. A good read; I reccomend to anyone who needs a quick read.",0,0
Push: A Novel,"A Good Morning America Book Club Pick | A New York Times bestseller! “Utterly addictive.” —Paula Hawkins, author of The Girl on the Train “Hooks you from the very first page and will have you racing to get to the end.”—Good Morning America A tense, page-turning psychological drama about the making and breaking of a family—and a woman whose experience of motherhood is nothing at all what she hoped for—and everything she feared Blythe Connor is determined that she will be the warm, comforting mother to her new baby Violet that she herself never had. But in the thick of motherhood's exhausting early days, Blythe becomes convinced that something is wrong with her daughter—she doesn't behave like most children do. Or is it all in Blythe's head? Her husband, Fox, says she's imagining things. The more Fox dismisses her fears, the more Blythe begins to question her own sanity, and the more we begin to question what Blythe is telling us about her life as well. Then their son Sam is born—and with him, Blythe has the blissful connection she'd always imagined with her child. Even Violet seems to love her little brother. But when life as they know it is changed in an instant, the devastating fall-out forces Blythe to face the truth. The Push is a tour de force you will read in a sitting, an utterly immersive novel that will challenge everything you think you know about motherhood, about what we owe our children, and what it feels like when women are not believed.",['Ashley Audrain'],Penguin,2021,['Fiction'],25.0,5.0,2011-05-18,Push,"This novel is definitely something I would recommend everybody read. It is definitely graphic but so well written. That isn't to say the grammar is collegiate, it's well written because it's in her own voice so when you read it you feel like she's actually talking to you or you're just listening in on her inner thoughts.You could just watch the movie, which is a nice visual aid but you would be missing out on some key details and some of her inner thoughts that you can't tell just by watching an actor. The book is better. I would recommend anyone read this book.",0,0
Sams Letters To Jennifer,"When her beloved grandmother is hospitalised, Jennifer returns to the lakeside home where she spent a magical childhood. There she finds a package of letters addressed to her that tell of passion, intrigue and desire. This is the real tale of her grandmother's life. It's a shocking family secret, concealed for decades, and the most moving love story Jennifer has ever heard. Then comes the biggest surprise of all. Jennifer lets her guard down for a moment and is overcome by exhilarating new emotions. It might come with an unbearable cost - but her grandmother's letters make Jennifer think that love may help her find a way.",['James Patterson'],Hachette UK,2011,['Fiction'],39.0,2.0,2004-07-19,Eh,James Patterson lost his touch in this book. The romance seemed too forced and the plot didn't flow as smoothly as you would expect it would from a Patterson novel. The fact the the reverend is shacking up with a married women is never discussed. Jennifer becomes romantically involved with a man she knew when she was too young to remember him and the apprehensions about becoming involved so recently after her first husband's death are only lightly discussed. The story seems too forced and Patterson should stick to mystery thrillers.,5,8
Sea-Wolf,"This carefully crafted ebook: “The Sea Wolf (Unabridged)” is formatted for your eReader with a functional and detailed table of contents. John Griffith ""Jack"" London was an American author, journalist, and social activist. He was a pioneer in the then-burgeoning world of commercial magazine fiction and was one of the first fiction writers to obtain worldwide celebrity and a large fortune from his fiction alone. He is best remembered as the author of Call of the Wild and White Fang, both set in the Klondike Gold Rush, as well as the short stories ""To Build a Fire"", ""An Odyssey of the North"", and ""Love of Life. He also wrote of the South Pacific in such stories as ""The Pearls of Parlay"" and ""The Heathen"", and of the San Francisco Bay area in The Sea Wolf. The Sea-Wolf is a 1904 psychological adventure about a literary critic and survivor of an ocean collision, who comes under the dominance of Wolf Larsen, the powerful and amoral sea captain who rescues him. A deranged and abusive sea captain perpetrates a shipboard atmosphere of increasing violence that ultimately boils into mutiny, shipwreck, and a desperate confrontation...",['Jack London'],e-artnow,2013,['Fiction'],22.0,5.0,2006-04-12,My favorite Jack London book,Don't read any other reveiws it will ruin it for you. Just buy this book it's amazing.,7,10
The Andromeda Strain,"From the author of Jurassic Park, Timeline, and Sphere comes a captivating thriller about a deadly extraterrestrial microorganism, which threatens to annihilate human life. Five prominent biophysicists have warned the United States government that sterilization procedures for returning space probes may be inadequate to guarantee uncontaminated re-entry to the atmosphere. Two years later, a probe satellite falls to the earth and lands in a desolate region of northeastern Arizona. Nearby, in the town of Piedmont, bodies lie heaped and flung across the ground, faces locked in frozen surprise. What could cause such shock and fear? The terror has begun, and there is no telling where it will end.",['Michael Crichton'],Vintage,2012,['Fiction'],84.0,3.0,2000-07-31,Pretty Good,I thought this book was way ahead of it's time and fairly interesting. The idea that a disease as deadly as the 'andromeda strain' is very unsettling. 'The Andromeda Strain' is also very realistic and it doesn't seem that unlikely to me. But it seems like I hardly knew anything about the main characters. They were sort of mysterious in regards to their background. They told what they did and where they were from but he didn't really help me to know them real well like in his other books. It was also a little boring at times. But besides those problems it was a greaet book.,1,1
